1,1,270,232,27,7,1,-2.165405,-0.266968,18.984375
1,2,252,194,27,12,1,-2.521423,-1.850586,14.804688
1,3,377,232,29,8,1,4.035840,-0.225781,18.062500
1,4,278,334,19,8,1,-1.929687,5.818750,19.000000
2,1,265,233,20,6,1,-2.880615,-0.256055,20.484375
2,2,270,177,27,13,1,-1.738562,-2.691199,15.242188
2,3,400,233,30,9,1,4.445007,-0.116974,14.972656
2,4,284,348,24,15,1,-1.338281,6.440479,17.843750
3,1,261,234,19,6,1,-3.282275,-0.198926,21.218750
3,2,292,171,26,12,1,-0.741943,-3.116162,15.828125
3,3,377,232,36,13,1,2.885742,-0.057715,12.312500
3,4,293,361,27,18,1,-0.699390,6.734863,16.578125
4,1,262,234,19,6,1,-3.194653,-0.197607,21.078125
4,2,314,176,26,10,1,0.359570,-3.030664,16.437500
4,3,303,232,38,14,1,0.069238,-0.034619,11.078125
4,4,301,370,38,20,1,0.000000,6.690674,15.292969
5,1,263,234,23,7,1,-2.881519,-0.158325,20.265625
5,2,329,187,25,11,1,1.135889,-2.509521,16.906250
5,3,230,232,39,13,1,-2.535315,-0.053943,11.507812
5,4,315,374,39,22,1,0.644995,6.449951,14.234375
